,,ZSP.TO,ZXLC.TO,ZXLY.TO,ZXLP.TO,ZXLE.TO,ZXLF.TO,ZXLV.TO,ZXLI.TO,ZXLR.TO,ZXLK.TO,ZXLB.TO,ZXLU.TO
corr,ZXLC.TO,0.06870648428449314,1.0,0.40891514112115057,0.16196423469767152,-0.23280272916625913,0.34519492789636963,0.07686269530205543,0.10661354470108597,0.10123217822495344,0.07267186249648767,0.29272271311172304,-0.0015643651363921162
corr,ZXLY.TO,0.3478472075873179,0.40891514112115057,0.9999999999999999,0.09133961502363251,-0.2465648687573605,0.20307698977815383,0.027214430225311097,0.33291491634778725,0.06630926589963002,0.282986935141499,0.2579867061143923,-0.017922537173107538
corr,ZXLP.TO,-0.025435184404999252,0.16196423469767152,0.09133961502363251,1.0,-0.011098662662857571,0.2253745964813919,0.40586642193520833,0.10852683884047477,0.18027464841493018,-0.2522900844574295,0.14623926094276882,0.3494974873161879
corr,ZXLE.TO,-0.29279451996415173,-0.23280272916625913,-0.24656486875736053,-0.01109866266285757,1.0,-0.05503901099512383,-0.1391815273161217,-0.19121752438487882,-0.05791097175417327,-0.15822750202595845,-0.12443419301281089,-0.003637985708749039
corr,ZXLF.TO,0.24076583343551958,0.34519492789636963,0.20307698977815386,0.2253745964813919,-0.05503901099512382,0.9999999999999999,0.2087624370551731,0.3729455789278095,0.10973726878906877,0.14046044116700165,0.25928497573039283,0.030895514685544412
corr,ZXLV.TO,0.11402342994071878,0.07686269530205543,0.027214430225311097,0.40586642193520833,-0.1391815273161217,0.2087624370551731,1.0000000000000002,0.2016092261740328,0.13042955616273802,-0.2099794078594844,0.16824529568762983,0.23547053070441953
corr,ZXLI.TO,0.6065727130890615,0.10661354470108599,0.33291491634778725,0.10852683884047477,-0.19121752438487882,0.3729455789278095,0.20160922617403276,1.0,-0.027376241153232152,0.46679973113311934,0.33482890493481343,0.23043658422675403
corr,ZXLR.TO,0.08647377653287106,0.10123217822495344,0.06630926589963002,0.18027464841493018,-0.05791097175417327,0.10973726878906875,0.13042955616273802,-0.027376241153232155,1.0,-0.02238213622426178,0.016248835112372975,0.04252737346888121
corr,ZXLK.TO,0.695768034445208,0.07267186249648766,0.282986935141499,-0.2522900844574295,-0.15822750202595842,0.14046044116700165,-0.2099794078594844,0.4667997311331193,-0.02238213622426178,1.0000000000000002,0.0973000665235972,-0.09051240613140608
corr,ZXLB.TO,0.07316347613816303,0.29272271311172304,0.2579867061143923,0.14623926094276882,-0.12443419301281089,0.25928497573039283,0.16824529568762983,0.33482890493481343,0.016248835112372975,0.09730006652359718,1.0000000000000002,0.12611496747692783
corr,ZXLU.TO,0.07342355615134313,-0.0015643651363921162,-0.017922537173107538,0.34949748731618785,-0.0036379857087490385,0.030895514685544412,0.23547053070441956,0.23043658422675403,0.04252737346888121,-0.09051240613140608,0.12611496747692783,1.0
